Equity name,Ann Date,Prev Ann Date,Next Ann Date,EPS,Surprise,PE,PE Change,Up Down Flag,Beat Miss Flag,Sector,Quarter,%Px Chg,Surprise 8,Surprise 7,Surprise 6,Surprise 5,Surprise 4,Surprise 3,Surprise 2,Surprise 1
ADM US Equity,2021-04-27,2021-01-26,2021-07-27,1.39,0.3353,13.35,-0.030501089324618702,1,1,3,0.0,0.030699999999999998,0.1808,0.1641,0.2899,0.2522,0.3475,0.0925,0.1023,0.30010000000000003
ISRG US Equity,2022-10-18,2022-07-21,2023-01-24,1.19,0.0673,48.06,-0.034939759036144435,1,1,3,2.0,0.08990000000000001,0.1206,0.1566,0.057800000000000004,0.08109999999999999,0.0377,0.0725,0.0174,-0.0254
ABBV US Equity,2022-04-29,2022-02-02,2022-07-29,3.24,0.031200000000000002,17.17,0.15778826702629822,0,1,3,0.0,-0.0603,0.0377,0.0101,0.0365,0.0434,-0.0004,0.019799999999999998,0.0235,0.0144
LRCX US Equity,2022-07-27,2022-04-20,2022-10-19,0.883,0.2096,12.99,-0.22678571428571426,1,1,7,1.0,0.0369,0.0696,0.06280000000000001,0.0547,0.11560000000000001,0.1912,0.0754,0.071,0.0877
STLD US Equity,2023-07-19,2023-04-19,2023-10-18,4.81,0.0101,6.37,0.058139534883721034,0,1,0,1.0,-0.0297,-0.0429,0.0375,0.0642,0.0369,-0.0109,0.0453,-0.0166,0.0128
CME US Equity,2022-10-26,2022-07-27,2023-02-08,1.98,0.0206,23.97,-0.18386108273748725,0,1,5,2.0,-0.022000000000000002,0.0109,0.0103,0.0212,0.039,0.0131,0.058899999999999994,0.027999999999999997,0.0218
MGM US Equity,2022-05-02,2022-02-09,2022-08-03,0.01,0.0,113.35,0.0,0,0,2,0.0,-0.026699999999999998,0.1974,0.552,0.4286,0.10490000000000001,3.4,0.1985,0.0,-0.8492000000000001
VZ US Equity,2023-01-24,2022-10-21,2023-04-25,1.19,-0.0025,7.85,0.06948228882833796,1,0,1,3.0,0.0199,0.012,0.011000000000000001,0.0034999999999999996,0.0268,0.0019,0.0313,0.038599999999999995,0.0084
BR US Equity,2021-08-12,2021-05-04,2021-11-03,2.19,0.0014000000000000002,29.97,0.06883024251069902,1,1,7,1.0,0.0045000000000000005,0.0318,0.0123,0.0066,-0.0455,0.0095,0.0483,-0.0049,0.11689999999999999
INVH US Equity,2020-08-03,2020-05-06,2020-10-28,0.064,0.17629999999999998,144.89,0.08483078766097618,1,1,5,1.0,0.0003,0.18539999999999998,0.0805,-0.055099999999999996,0.13720000000000002,0.1137,0.23920000000000002,-0.4226,-0.0802
BA US Equity,2020-10-28,2020-07-29,2021-01-27,-1.39,0.33140000000000003,108.01,0.7794069192751236,0,1,6,2.0,-0.045700000000000005,0.0,-19.5556,-16.9739,-206.8378,-2.5294,0.0,-0.6962,-6.2172
EVRG US Equity,2021-08-05,2021-05-06,2021-11-03,0.85,0.16920000000000002,18.15,-0.03968253968253965,1,1,8,1.0,0.012199999999999999,0.0398,0.0225,0.2987,0.0669,0.029900000000000003,0.046900000000000004,-0.0533,0.11800000000000001
ORLY US Equity,2022-07-27,2022-04-27,2022-10-26,0.585,-0.022799999999999997,19.96,-0.09066059225512524,1,0,2,1.0,0.0255,-0.0405,-0.0108,0.012,0.032799999999999996,0.0139,0.037599999999999995,0.08560000000000001,0.07629999999999999
YUM US Equity,2020-07-30,2020-04-29,2020-10-29,0.82,0.4936,30.39,0.325916230366492,0,1,2,1.0,-0.0336,-0.031400000000000004,-0.026000000000000002,-0.07690000000000001,0.1244,0.2121,0.2384,0.13970000000000002,0.2562
MMC US Equity,2020-04-30,2020-01-30,2020-07-30,1.64,0.0466,18.28,-0.25173966434711414,1,1,5,0.0,0.0286,0.0668,0.0127,0.08109999999999999,0.2255,0.1617,0.0559,0.1326,0.163
TPR US Equity,2021-02-04,2020-10-29,2021-05-06,1.15,0.1466,18.18,0.9197465681098203,1,1,2,3.0,0.045700000000000005,0.049699999999999994,0.0464,0.0091,0.2349,0.12240000000000001,0.1765,0.09630000000000001,0.6399
FI US Equity,2021-10-27,2021-07-27,2022-02-08,1.47,0.0138,35.69,-0.06838945445053524,0,1,7,2.0,-0.1002,0.015,0.0095,0.0051,-0.0052,-0.0406,0.0070999999999999995,0.0495,0.009000000000000001
FITB US Equity,2020-07-23,2020-04-21,2020-10-22,0.3,0.4133,10.77,0.6098654708520177,0,1,5,1.0,-0.0008,-0.04650000000000001,0.036000000000000004,0.031,0.058600000000000006,0.20579999999999998,0.3985,0.19940000000000002,0.4188
OXY US Equity,2023-08-02,2023-05-09,2023-11-07,0.68,-0.047599999999999996,9.85,0.34013605442176864,1,0,4,1.0,0.012,0.3356,0.1125,0.138,0.31579999999999997,0.32049999999999995,0.08810000000000001,0.1012,0.35479999999999995
WTW US Equity,2023-04-27,2023-02-09,2023-07-27,2.84,0.035699999999999996,17.54,-0.11991971901655796,0,1,5,0.0,-0.050300000000000004,-0.029500000000000002,0.0125,0.11359999999999999,0.10289999999999999,0.0176,0.0564,0.1045,-0.1152
NFLX US Equity,2023-04-18,2023-01-19,2023-07-19,2.88,0.005600000000000001,37.15,0.2533738191632928,0,1,1,0.0,-0.0317,0.16269999999999998,0.021,0.0555,0.0302,0.16940000000000002,-0.0339,0.0697,0.1524
LMT US Equity,2020-07-21,2020-04-21,2020-10-20,5.79,0.0165,13.18,0.02488335925349916,1,1,6,1.0,0.0262,-0.029300000000000003,0.0374,0.042,0.11960000000000001,-0.002,0.0418,-0.005600000000000001,0.0259
PPG US Equity,2021-07-19,2021-04-15,2021-10-20,1.94,-0.115,23.81,-0.007916666666666683,0,0,0,1.0,-0.0438,0.0613,0.1727,0.0981,0.0006,0.0296,0.22870000000000001,0.0843,0.0596
NKE US Equity,2021-09-23,2021-06-24,2021-12-20,1.157,0.0377,43.58,0.14024071166928298,0,1,2,2.0,-0.0626,0.2601,-0.0105,0.4549,0.31170000000000003,-0.0064,0.0922,0.205,0.31420000000000003
DOC US Equity,2021-02-09,2020-11-02,2021-05-04,0.312,2.4703999999999997,1010.0,13.135759272218333,1,1,5,3.0,0.0241,-0.9074,4.9636000000000005,-0.057999999999999996,-0.078,-0.39299999999999996,0.4587,1.0425,8.1933
INTU US Equity,2021-05-25,2021-02-23,2021-08-24,6.07,-0.051100000000000007,53.32,-0.033182230281051606,1,0,7,1.0,0.0087,0.055999999999999994,0.5257000000000001,0.3926,0.1202,0.0102,-0.15439999999999998,0.5740999999999999,0.2421
WRB US Equity,2020-07-21,2020-04-21,2020-10-20,0.027,-0.7508,28.61,0.5177718832891245,0,0,5,1.0,-0.0014000000000000002,0.2963,0.1603,0.2057,0.40020000000000006,0.15810000000000002,0.3296,0.1784,-0.0273
NTRS US Equity,2020-04-21,2020-01-22,2020-07-22,1.555,0.0692,11.36,-0.29221183800623063,0,1,5,0.0,-0.061799999999999994,0.076,0.0547,0.0824,0.0072,0.1417,0.0021,-0.04650000000000001,0.06849999999999999
AIG US Equity,2022-08-09,2022-05-03,2022-11-01,1.19,0.0868,11.97,-0.05822187254130606,1,1,5,1.0,0.0256,-0.1199,0.061799999999999994,0.0955,0.0864,0.0958,0.1407,0.07769999999999999,0.43170000000000003
UHS US Equity,2021-04-26,2021-02-25,2021-07-26,2.44,0.08779999999999999,16.47,-0.117363344051447,1,1,3,0.0,0.0009,0.0378,0.023700000000000002,0.0479,-0.0521,-0.12279999999999999,0.04019999999999999,-0.027000000000000003,0.4061
ULTA US Equity,2022-03-10,2021-12-02,2022-05-26,5.41,0.17350000000000002,20.11,-0.11759543659499783,0,1,2,0.0,-0.0286,0.0668,0.0138,0.0233,0.011200000000000002,0.1752,0.2864,0.13119999999999998,0.0
ORLY US Equity,2020-07-29,2020-04-22,2020-10-28,0.474,0.6503,20.67,0.22525192649673986,1,1,2,1.0,0.054299999999999994,-0.022799999999999997,-0.044000000000000004,0.2639,0.1229,0.10210000000000001,0.30079999999999996,0.0526,0.11410000000000001
PCG US Equity,2020-05-01,2020-02-18,2020-07-30,0.89,-0.1326,2.34,-0.17314487632508846,0,0,8,0.0,-0.047,0.17190000000000003,0.0036,-0.0625,-0.011000000000000001,-0.1188,0.22149999999999997,-0.16670000000000001,0.31379999999999997
CINF US Equity,2020-07-27,2020-04-27,2020-10-26,0.44,0.1139,17.84,-0.056583818085668924,1,1,5,1.0,0.0115,-0.375,0.09269999999999999,0.4507,0.3823,0.7129000000000001,0.23420000000000002,0.34729999999999994,0.0
PSA US Equity,2022-08-04,2022-05-03,2022-11-01,3.42,0.3344,26.48,-0.29984135378106824,1,1,5,1.0,0.0019,0.0407,0.0582,-0.192,0.1331,0.0313,-0.0321,-0.239,0.1363
HII US Equity,2020-05-07,2020-02-13,2020-08-06,2.43,-0.4657,12.86,-0.21918639951426833,0,0,6,0.0,-0.029900000000000003,0.4675,-0.0508,0.2082,0.2205,0.3614,-0.05,-0.0955,0.0
TGT US Equity,2022-08-17,2022-05-18,2022-11-16,0.39,-0.4621,18.48,-0.026856240126382214,0,0,2,2.0,-0.0269,0.1805,-0.0083,0.24109999999999998,0.4276,0.2811,0.1674,0.3385,-0.2958
O US Equity,2023-08-02,2023-05-03,2023-11-06,0.29,-0.142,44.95,-0.05587061541692917,0,0,5,1.0,-0.0253,-0.40380000000000005,-0.25730000000000003,-0.39630000000000004,-0.187,-0.2267,-0.5733,-0.0964,-0.003
MS US Equity,2021-07-15,2021-04-16,2021-10-14,1.89,0.151,12.05,0.20620620620620622,1,1,5,1.0,0.0018,0.0368,0.021,0.0236,0.0126,-0.0828,0.2175,0.0727,0.2071
COF US Equity,2022-10-27,2022-07-21,2023-01-24,4.2,-0.1771,4.57,0.002192982456140413,1,0,5,2.0,0.0487,0.1979,0.0022,-0.021,-0.1585,0.365,0.0774,-0.4083,-0.2553
ADI US Equity,2022-05-18,2022-02-16,2022-08-17,2.4,0.1391,19.74,-0.16919191919191934,0,1,7,1.0,-0.0239,0.1015,0.009899999999999999,0.004,-0.0123,0.0269,0.058499999999999996,0.0553,0.0319
VRSN US Equity,2023-04-27,2023-02-09,2023-07-27,1.702,0.023399999999999997,32.41,-0.013994523881959209,1,1,1,0.0,0.0226,-0.0024,-0.0025,0.029900000000000003,0.0388,0.0323,0.39409999999999995,0.0111,0.027999999999999997
EA US Equity,2022-08-02,2022-05-10,2022-11-01,0.47,0.6846,29.74,-0.1372207716855237,1,1,7,1.0,0.0341,1.4299000000000002,-0.0969,0.0116,0.13419999999999999,0.1176,0.35259999999999997,-0.0868,0.0757
LKQ US Equity,2023-02-23,2022-10-27,2023-04-27,0.78,-0.07690000000000001,14.51,0.15709728867623607,0,0,2,3.0,-0.0072,0.10189999999999999,0.0011,-0.047599999999999996,-0.1332,0.1038,-0.1042,0.0158,0.0833
ROL US Equity,2020-07-29,2020-04-29,2020-10-28,0.153,0.2403,58.88,0.12409316533027881,1,1,3,1.0,0.049100000000000005,-0.0196,0.049,-0.0345,-0.064,0.12990000000000002,0.2389,0.1607,0.09699999999999999
ESS US Equity,2023-04-27,2023-02-07,2023-07-27,2.38,0.8168000000000001,42.77,-0.08179476170030042,1,1,5,0.0,0.0391,1.2685,1.9769999999999999,0.2822,-0.0169,2.062,-0.34409999999999996,-0.0575,0.0245
BBY US Equity,2023-03-02,2022-11-22,2023-05-25,2.61,0.2452,13.05,0.31951466127401407,0,1,2,0.0,-0.0212,0.0728,-0.0263,0.1572,0.1142,0.0802,0.0904,0.1434,0.0286
ACN US Equity,2021-03-18,2020-12-17,2021-06-24,2.03,0.069,32.17,-0.01590700520036692,1,1,7,0.0,0.009899999999999999,0.0812,0.0617,0.0129,-0.019,0.0641,0.057800000000000004,0.0022,0.0729
WAB US Equity,2022-11-01,2022-08-05,2023-02-15,1.22,0.0209,22.79,-0.031037414965986443,1,1,6,2.0,0.0051,0.0616,0.0403,0.2668,-0.0222,0.1668,0.0666,0.0667,0.013300000000000001
CBOE US Equity,2022-07-29,2022-04-29,2022-11-04,1.67,-0.011200000000000002,17.33,-0.2046810463515375,0,0,5,1.0,-0.0182,0.024300000000000002,0.0513,0.0108,0.10400000000000001,0.0045000000000000005,0.018799999999999997,0.030899999999999997,0.0565
GS US Equity,2023-04-18,2023-01-17,2023-07-19,8.79,0.0713,11.19,0.020985401459853836,0,1,5,0.0,-0.017,0.1519,0.45520000000000005,0.1646,0.0313,0.3147,0.32530000000000003,0.0042,-0.2187
SHW US Equity,2022-01-27,2021-10-26,2022-04-26,1.34,-0.008100000000000001,47.08,0.3717948717948718,0,0,0,3.0,-0.0327,0.0084,0.1607,0.2341,0.1365,0.0178,0.10460000000000001,-0.1318,0.0387
STT US Equity,2023-04-17,2023-01-20,2023-07-14,1.52,-0.07200000000000001,10.24,-0.015384615384615441,0,0,5,0.0,-0.09179999999999999,0.018000000000000002,0.0647,0.0665,0.0596,0.1282,0.1117,0.061,0.0338
PHM US Equity,2022-02-01,2021-10-26,2022-04-28,2.51,0.09230000000000001,7.86,0.05929919137466322,1,1,2,3.0,0.0095,0.0199,0.024,0.2779,0.3034,0.24359999999999998,-0.0417,0.0384,0.059000000000000004
CB US Equity,2022-02-01,2021-10-26,2022-04-26,3.81,0.1559,15.5,0.05585831062670299,1,1,5,3.0,0.0383,0.0858,0.1166,0.1159,-0.0059,-0.051500000000000004,0.30510000000000004,0.1438,0.0834
LKQ US Equity,2020-10-29,2020-07-30,2021-02-18,0.75,0.45909999999999995,12.38,-0.008012820512820484,1,1,2,2.0,0.0642,0.0062,0.0718,0.0965,0.114,0.1916,0.4987,0.4921,0.1636
CMCSA US Equity,2022-10-27,2022-07-28,2023-01-26,0.96,0.07139999999999999,9.49,-0.29389880952380953,1,1,1,2.0,0.0149,0.0556,0.0794,0.0452,0.060599999999999994,0.1356,0.1637,0.10980000000000001,0.0636
BRO US Equity,2021-07-26,2021-04-26,2021-10-25,0.49,0.2159,26.7,0.09247135842880505,1,1,5,1.0,0.006999999999999999,0.1429,0.0282,0.0989,-0.16670000000000001,0.0451,0.037200000000000004,0.08529999999999999,0.09849999999999999
AMCR US Equity,2021-05-04,2021-02-02,2021-08-17,0.166,-0.045700000000000005,18.25,-0.08521303258145363,0,0,6,0.0,-0.0121,-0.0529,0.0452,-0.0055000000000000005,0.0124,0.0355,-0.0109,0.0231,-0.3347
